hid,title,type,rating,read,last_read,synonyms,mal,anilist,mangaupdates
AinlRu1s,The Sichuan Tang Clan’s Entomologist,Reading,,39,2025-00-10,"El maestro del veneno del Clan Tang Sichuan,Fabre in Sacheon Tang Clan,Fabre in Sacheondangga,The Sichuan Tang Clan's Entomologist,เซียนพิษท่องยุทธภพ,El maestro del veneno del Clan Tang Sichuan,Fabre in Sacheon Tang Clan,Fabre in Sacheondangga,Poison Entomologist In Sichuan Tang Clan,The Poison Master of Sacheondang Clan,เซียนพิษท่องยุทธภพ,唐家的养蛊师,武林界のファーブルは毒物博士,毒物專家法布爾in四川唐門,The Sichuan Tang Clan's Entomologist,Entomologist in Sichuan Tang Clan,파브르 in 사천당가,A Poison Master in the Sichuan Tang Clan,The Poison Master of Sacheon Tang Clan,Entomologista Do Clã Tang De Sichuan,El maestro del veneno del Clan Tang Sichuan,Fabre in Sacheon Tang Clan,Fabre in Sacheondangga",,https://anilist.co/manga/185452,https://www.mangaupdates.com/series/d3t0m50
RbQXjgDh,The Returning Devil Lives a Good Life,Reading,,,0000:00:00,"The Regressed Demon Lord Is Kind,回归后的魔王变善良了,회귀한 마왕은 착하게 산다,やり直し魔王に善き人生を",,,https://www.mangaupdates.com/series/yb5ms5q
yxaJJtD6,"Hello, Mr. Veterinarian!",Reading,,,0000:00:00,"수의사님! 안녕하세요?,Veterinarian! Hello?,Hello? Veterinarian!,สวัสดีงับ คุณสัตวแพทย์!,你好？兽医先生！,獣医さん、こんにちは！,Hello, Mr. Veterinarian!",https://myanimelist.net/manga/174688,https://anilist.co/manga/172371,https://www.mangaupdates.com/series/i99nxay
V0t0o4ZV,How to Live as a Civil Servant in Murim,Reading,,,0000:00:00,무림 속 공무원으로 살아가는 법,,https://anilist.co/manga/195705,https://www.mangaupdates.com/series/tgw3zmg
xZ9_Eq6m,Reincarnation of the Fist King,Reading,,6,2025-41-10,"권왕환생,The Fist King's Rebirth,Reencarnación del Rey del Puño,권왕환생",,,https://www.mangaupdates.com/series/d3dn91z
aUXao9lE,Unrivaled Spear Demon,Reading,,,0000:00:00,"槍鬼無双,창귀무쌍,Demônio da Lança Incomparável,Unrivaled Spear Ghost",,,https://www.mangaupdates.com/series/sdavdyc
d1mz8pTN,Monster Pet Evolution,Reading,,365,2025-47-20,"神宠进化,Divine Pet Evolution,Shenchong Jinhua,God Pet Evolution,神寵進化,Thần Sủng Tiến Hóa,テイマー：天才モンスター使いになりました",,https://anilist.co/manga/139195,https://www.mangaupdates.com/series/185161
DDOnL8gd,Master Villainess the Invincible!,Reading,,61,2025-05-06,"무협지 악녀인데 내가 제일 쎄!,武侠小説の中で私が一番強いのですが何か？,Я злодейка в романе о боевых искусствах, но я сильнейшая!,ถึงเป็นวายร้ายนิยายบู๊ แต่ฉันนี่แหละแกร่งสุด!,女俠當家,Akulah Antagonis Terkuat di Martial Art!,I'm a Martial Art Villainess but I'm the Strongest!,Тулаант зохиолын эсрэг дүр болсон нь,Karanlığı seçmiş bir kadın olabilirim, ama en güçlüsüyüm!,Én egy gonosz harcművész vagyok, de a legerősebb!,Master Villainess the Invincible!: Nei panni di una guerriera,武侠之恶女我最强！,Je suis une artiste martiale vilaine, mais je suis la plus forte!,La vilaine est une maître invincible,I'm a Martial Art Villainess, but I'm the Strongest!",https://myanimelist.net/manga/147820,https://anilist.co/manga/128273,https://www.mangaupdates.com/series/175828
eHQyQ8Cj,The Max Level Hero Strikes Back,Reading,,173,2025-05-06,"最終レベル英雄のご帰還,顶级英雄归来,만렙 영웅님께서 귀환하신다!,การกลับมาของวีรบุรุษเวลตัน,Возвращение героя максимального уровня,O Herói de Nível Máximo Retornou!,The Max Level Hero Has Returned!,Max Level Hero is Making a Comeback!,The MAX leveled hero will return!,Max Level Hero,The Max Level Hero Strikes Back!,英雄大人滿級回歸,O Herói de Nível Máximo Retornou",https://myanimelist.net/manga/147322,https://anilist.co/manga/125636,https://www.mangaupdates.com/series/173298
lPdTHLvq,Surviving With an SSS-Rank Inventory,Reading,,39,2025-06-06,"SSS급 창고 캐릭터로 살아남기,SSSgeub Chang-go Kaeligteolo Sal-anamgi,SSS級倉庫キャラでゲーム世界を生き抜く,作为SSS级仓库角色生存,Surviving as an SSS-Class Alternate Character",https://myanimelist.net/manga/176492,https://anilist.co/manga/175937,https://www.mangaupdates.com/series/1u9owo2
