"ID","Title","Viewed","URL"
43720,"My Disciples Cultivate, While I Slack Off!","Chapter 41","https://www.manganato.gg/manga/my-disciples-cultivate-while-i-slack-off/chapter-41"
43270,"Solo Max-Level Newbie","Chapter 139","https://www.manganato.gg/manga/solo-max-level-newbie/chapter-139"
39387,"Surviving The Game As A Barbarian","Chapter 80","https://www.manganato.gg/manga/surviving-the-game-as-a-barbarian/chapter-80"
6537,"What Do You Wish For With Those Murky Eyes: Record Of Highserk War","Chapter 7","https://www.manganato.gg/manga/what-do-you-wish-for-with-those-murky-eyes-record-of-highserk-war/chapter-7"
42435,"STUCK IN THE TOWER","Chapter 48","https://www.manganato.gg/manga/stuck-in-the-tower/chapter-48"
33502,"Worthless Regression","Chapter 54","https://www.manganato.gg/manga/worthless-regression/chapter-54"
41364,"The Princess Is Evil","Chapter 20","https://www.manganato.gg/manga/the-princess-is-evil/chapter-20"
474,"Reincarnated Escort Warrior","Chapter 96","https://www.manganato.gg/manga/reincarnated-escort-warrior/chapter-96"
1322,"Lookism","Chapter 337","https://www.manganato.gg/manga/lookism/chapter-337"
40428,"Genius Archer’S Streaming","Chapter 49","https://www.manganato.gg/manga/genius-archers-streaming/chapter-49"
43568,"I Was Reincarnated As A Baby Fox God","Chapter 22.5","https://www.manganato.gg/manga/i-was-reincarnated-as-a-baby-fox-god/chapter-22-5"
39700,"Rookie Employee Kim Cheolsu","Chapter 52","https://www.manganato.gg/manga/rookie-employee-kim-cheolsu/chapter-52"
41921,"Real Man","Chapter 206","https://www.manganato.gg/manga/real-man/chapter-206"
45885,"Return Of The Sword God-Rank Civil Servant","Chapter 22","https://www.manganato.gg/manga/return-of-the-sword-god-rank-civil-servant/chapter-22"
32830,"Trash Of The Count’s Family","Chapter 116","https://www.manganato.gg/manga/trash-of-the-counts-family/chapter-116"
41514,"Heavenly Inquisition Sword (Nine Heavens Swordmaster)","Chapter 80","https://www.manganato.gg/manga/heavenly-inquisition-sword-nine-heavens-swordmaster/chapter-80"
