title,md_id,markable,marked,missing
Welcome to Sylvia's Garden,0bd7972b-adb4-4708-bcb2-4198f95b6074,0,0,unknown
BLUE GIANT,1090afe3-3b91-4325-a9b4-d92875aa815e,0,0,unknown
They Only Remembered Her,102ed7d8-8db3-43cd-bfa8-db4e6370530a,0,0,32
Surviving as the Devil's Child,0942d2d0-3987-4751-b955-9fa73bb775b0,0,0,unknown
Villainess: Reloaded! Blowing Away Bad Ends with Modern Weapons,0a53a3ba-fbbb-490e-9c6c-0daf7ccbc3df,0,0,unknown
"Cheat Skill ""Shisha Sosei"" ga Kakusei Shite, Inishie no Maougun wo Fukkatsu Sasete Shimaimashita",009c62ce-6064-4409-9949-4f00ba6d593c,0,0,28
"Oda Nobunaga's Mysterious Profession Was Cheat Job From Magical Swordsman, So I Decided to Build a Kingdom",01604e79-5c05-442e-993e-a5d0a870e499,0,0,unknown
"I Have Been Stuck on the Same Day for 3,000 Years",0a53ed6d-58a4-4fc7-a05a-f9684808bb8c,40,0,1
"Ore wa Mada, Honki wo Dashite Inai",0ff40c6f-00ad-4876-9546-7dd657c208d6,0,0,unknown
The Veteran Healer Is Overpowered,0c0c9937-99f2-434a-bf0d-1ccbd41f5ba8,12,0,18
The B-Class Mage of Unrivaled Speed,00b4e5ae-2502-4f24-954f-f8412f4d22ec,0,0,unknown
"Saikyou Ansatsusha, Class Ten'i de Isekai e",027fb975-de7d-491b-b0ad-d91f8faee198,0,0,unknown
Shimazaki in the Land of Peace,0c19b45d-face-484d-bac3-886dcfbf3d65,0,0,unknown
Yondome wa Iya na Shizokusei Majutsushi,10e98722-874d-48b2-a715-90bb8af93598,54,0,1
"Henkyou Gurashi no Maou, Tensei shite Saikyou no Majutsushi ni naru",032f800d-d632-4442-8830-d037d616ead4,36,0,2
Assassin de Aru Ore no Sutetasu ga Yuusha Yori mo Akiraka ni Tsuyoi Nodaga,0fa5dab2-250a-4f69-bd15-9ceea54176fa,27,0,1
Rikudou,0148ce7c-7abe-4521-9711-70687f00269f,0,0,unknown
From the Grave and Back,08adcc67-8d91-4e79-9cc6-99cf2f2cabe8,0,0,unknown
Shinketsu no Kyuuseishu ~0.00000001% o Hikiate Saikyou e~,0b9dfda1-8255-46ff-90f5-f0980923a1b0,0,0,58
Saikyou no Madoshi. Hisa ni Ya wo Ukete Shimatta no de Inaka no Eihei ni Naru,078309e3-40cc-4584-822e-ad4577336d58,0,0,unknown
Jikan Teishi Yuusha - Yomei 3-ka no Settei ja Sekai wo Sukuu ni wa Mijika Sugiru,08a25bd7-ce34-4630-8552-b93fe16852d9,0,0,106
"Kono Sekai ga Izure Horobu Koto wo, Ore dake ga Shitteiru ~Monster ga Arawareta Sekai de, Shinimodori Level Up~",0aa2520a-a18f-406d-8908-32cec22b88ac,0,0,unknown
I Was the Final Boss,017928fe-96c5-4865-9b7f-1f7bc1b22824,0,0,unknown
Gareki! - Zoukei Otome no Houkago,0dc2b20c-ff76-4d0b-8923-b24173f2c10e,0,0,unknown
The Undefeated Newbie,10a65ac1-3203-4f9d-a17b-17c08652f89f,0,0,unknown
Kuroneko to Heishi,10af9328-da40-4f82-8965-f01ffd74d04d,0,0,unknown
Arcana Fantasy,022fa724-d9e4-4f39-a975-efadfa1544f0,0,0,unknown
Kentei Gakuin no Magan Kenja,02f97f2d-3e0c-45cf-8a77-8d5bcb2a7452,0,0,unknown
"Yuusha Party wo Tsuihou Sareta ""Skill Supporter,"" Nakama no Sukiru wo Kaihou Shite Saikyou ni Nariagaru",0a32fadf-1976-4f78-85ef-4f04bae127f3,0,0,unknown
Devoted to Diamond,0a34f2ce-bd2b-48ee-a984-e54e44525d95,0,0,unknown
Lady Evony,02792e77-d4e5-4789-a086-9f5609e533f3,0,0,unknown
Peerless Battle Spirit,06d22615-4713-43dd-985d-377301758d69,224,0,1
Keep Your Hands Off Eizouken!,0486e6b2-6551-4938-894a-4e7a72749b47,0,0,63
Saikyou no Ossan Hunter Isekai e ~ Kondokoso Yukkuri Shizuka ni Kurashitai ~,0f83e219-f445-4b9b-96d1-dde82d254f3c,0,0,unknown
"Gikou Taichi ""Skill Lender"" no Torikaeshi ~Toichi tte Saisho ni Itta yo na?~",0140ce33-967d-4f23-b277-08af1a96465a,0,0,43
Failure Frame: I Became the Strongest and Annihilated Everything With Low-Level Spells,0b171f64-89a5-4c37-b5f9-75cca57e8787,39,0,3
The Villainess' Maker,018c2577-f29d-42e2-9e74-979e03bd8930,0,0,unknown
